Question Pack ID,Question ID,Sub-Sub Category,Category,Sub Cateogry,Difficulty Level,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Image link,Flash Card,Keywords
SG1,SAG1,Africa,Society,General,L1,Which of these cities is in Africa?,Cairo,Palma,Luton,Sydney,A,,,
SG1,SAG2,Africa,Society,General,L1,Which of these cities is in Africa?,Philadelphia,Port Morseby,Johannesburg,Islamabad,C,,,
SG1,SAG3,Africa,Society,General,L1,What is the largest country in Africa?,Nigeria,Chad,Sudan,Botswana,C,,,
SG1,SAG4,Africa,Society,General,L1,Which of these countries is in Africa?,China,Croatia,Chile,Congo,D,,,
SG1,SAG5,Africa,Society,General,L1,Which of these is a country in Africa?,Uganda,Bogota,Caracas,La Paz,A,,,
SG1,SAG6,Agriculture,Society,General,L1,Which country was formerly known as South West Africa?,Botswana,Lesotho,Angola,Namibia,D,,,
SG1,SAG7,Agriculture,Society,General,L1,What is grown in an orchard?,Ceral crops,Fruit trees,Grass,Mushrooms,B,,,
SG1,SAG8,Agriculture,Society,General,L1,Which of these is a farm-hand?,Spandrel,Spadiller,Spalpeen,Spatula,C,,,
SG1,SAG9,Agriculture,Society,General,L1,Which of these is a cereal crop?,Chilblain,Verruca,Callus,Corn,D,,,
SG1,SAG10,Agriculture,Society,General,L1,Which farm animal is an omnivore?,Sheep,Cow,Horse,Pig,D,,,
SG1,SAG11,Geography General,Society,General,L1,Which river does Glasgow stand on?,Mersey,Forth,Severn,Clyde,D,,,
SG1,SAG12,Geography General,Society,General,L1,The San Andreas Fault is a geographic feature of which US state?,California,New Mexico,Montana,Oklahoma,A,,,
SG1,SAG13,Geography General,Society,General,L1,What is the largest island in the Caribbean?,Puerto Rico,Jamaica,Cuba,St Lucia,C,,,
SG1,SAG14,Geography General,Society,General,L1,Baffin Island is part of which country?,New Zealand,Canada,United Kingdom,Australia,B,,,
SG1,SAG15,Geography General,Society,General,L1,What is the name of the world's largest inland body of water?,Lake Michigan,Black Sea,Red Sea,Caspian Sea,D,,,
SG1,SAG16,Airlines & Airports,Society,General,L1,JFK is an airport in which city?,Boston,Los Angeles,Atlanta,New York,D,,,
